Date;Price;
20/05/1987;19;
21/05/1987;18;
22/05/1987;19;
25/05/1987;19;
26/05/1987;19;
27/05/1987;19;
28/05/1987;19;
29/05/1987;19;
1/06/1987;19;
2/06/1987;19;
3/06/1987;19;
4/06/1987;19;
5/06/1987;19;
8/06/1987;19;
9/06/1987;19;
10/06/1987;19;
11/06/1987;19;
12/06/1987;19;
16/06/1987;19;
17/06/1987;19;
18/06/1987;19;
19/06/1987;19;
22/06/1987;19;
23/06/1987;19;
24/06/1987;19;
25/06/1987;19;
26/06/1987;19;
29/06/1987;19;
30/06/1987;19;
1/07/1987;19;
2/07/1987;19;
3/07/1987;19;
6/07/1987;19;
7/07/1987;20;
8/07/1987;19;
9/07/1987;20;
10/07/1987;20;
13/07/1987;20;
14/07/1987;20;
15/07/1987;20;
16/07/1987;20;
17/07/1987;21;
20/07/1987;21;
21/07/1987;20;
22/07/1987;20;
23/07/1987;20;
24/07/1987;20;
27/07/1987;19;
28/07/1987;20;
29/07/1987;20;
30/07/1987;20;
31/07/1987;20;
3-Aug-87;21;
4-Aug-87;21;
5-Aug-87;20;
6-Aug-87;20;
7-Aug-87;20;
10-Aug-87;19;
11-Aug-87;19;
12-Aug-87;20;
13-Aug-87;19;
14-Aug-87;19;
17-Aug-87;19;
18-Aug-87;19;
19-Aug-87;19;
20-Aug-87;18;
21-Aug-87;18;
24-Aug-87;17;
25-Aug-87;18;
26-Aug-87;18;
27-Aug-87;18;
28-Aug-87;18;
31-Aug-87;19;
1/09/1987;18;
2/09/1987;18;
3/09/1987;18;
4/09/1987;18;
7/09/1987;18;
8/09/1987;18;
9/09/1987;18;
10/09/1987;18;
11/09/1987;18;
14/09/1987;18;
15/09/1987;19;
16/09/1987;19;
17/09/1987;18;
18/09/1987;18;
21/09/1987;18;
22/09/1987;18;
23/09/1987;18;
24/09/1987;19;
25/09/1987;19;
28/09/1987;19;
29/09/1987;19;
30/09/1987;18;
1/10/1987;19;
2/10/1987;19;
5/10/1987;19;
6/10/1987;19;
7/10/1987;19;
8/10/1987;19;
9/10/1987;19;
12/10/1987;19;
13/10/1987;19;
14/10/1987;19;
15/10/1987;19;
16/10/1987;19;
19/10/1987;19;
20/10/1987;19;
21/10/1987;19;
22/10/1987;19;
23/10/1987;19;
26/10/1987;19;
27/10/1987;19;
28/10/1987;19;
29/10/1987;19;
30/10/1987;19;
2/11/1987;19;
3/11/1987;18;
4/11/1987;18;
5/11/1987;18;
6/11/1987;18;
9/11/1987;18;
10/11/1987;18;
11/11/1987;18;
12/11/1987;18;
13/11/1987;18;
16/11/1987;18;
17/11/1987;17;
18/11/1987;17;
19/11/1987;17;
20/11/1987;18;
23/11/1987;18;
24/11/1987;18;
25/11/1987;18;
26/11/1987;18;
27/11/1987;18;
30/11/1987;18;
1-Dec-87;18;
2-Dec-87;18;
3-Dec-87;18;
4-Dec-87;18;
7-Dec-87;18;
8-Dec-87;18;
9-Dec-87;17;
10-Dec-87;18;
11-Dec-87;18;
14-Dec-87;17;
15-Dec-87;16;
16-Dec-87;16;
17-Dec-87;15;
18-Dec-87;16;
21-Dec-87;15;
22-Dec-87;17;
23-Dec-87;17;
24-Dec-87;17;
28-Dec-87;17;
29-Dec-87;17;
30-Dec-87;18;
31-Dec-87;18;
4-Jan-88;18;
5-Jan-88;17;
6-Jan-88;18;
8-Jan-88;17;
11-Jan-88;17;
12-Jan-88;16;
13-Jan-88;16;
14-Jan-88;17;
15-Jan-88;17;
18-Jan-88;17;
19-Jan-88;17;
20-Jan-88;17;
21-Jan-88;17;
22-Jan-88;17;
25-Jan-88;16;
27-Jan-88;16;
28-Jan-88;16;
29-Jan-88;16;
1/02/1988;16;
2/02/1988;16;
3/02/1988;16;
4/02/1988;16;
5/02/1988;16;
8/02/1988;17;
9/02/1988;16;
10/02/1988;16;
11/02/1988;16;
12/02/1988;16;
15/02/1988;16;
16/02/1988;16;
17/02/1988;16;
18/02/1988;15;
19/02/1988;16;
22/02/1988;15;
23/02/1988;16;
24/02/1988;15;
25/02/1988;15;
26/02/1988;15;
29/02/1988;15;
1/03/1988;14;
2/03/1988;14;
3/03/1988;14;
4/03/1988;14;
7/03/1988;14;
8/03/1988;14;
9/03/1988;14;
10/03/1988;14;
11/03/1988;15;
14/03/1988;14;
15/03/1988;14;
16/03/1988;14;
17/03/1988;14;
18/03/1988;15;
21/03/1988;15;
22/03/1988;15;
23/03/1988;15;
24/03/1988;16;
25/03/1988;15;
28/03/1988;16;
29/03/1988;16;
30/03/1988;16;
31/03/1988;16;
5-Apr-88;16;
6-Apr-88;15;
7-Apr-88;16;
8-Apr-88;16;
11-Apr-88;16;
12-Apr-88;16;
13-Apr-88;17;
14-Apr-88;17;
15-Apr-88;17;
18-Apr-88;17;
19-Apr-88;17;
20-Apr-88;17;
21-Apr-88;17;
22-Apr-88;17;
25-Apr-88;17;
26-Apr-88;17;
27-Apr-88;17;
28-Apr-88;17;
29-Apr-88;17;
2/05/1988;16;
3/05/1988;16;
4/05/1988;16;
5/05/1988;16;
6/05/1988;16;
9/05/1988;17;
10/05/1988;16;
11/05/1988;16;
12/05/1988;16;
13/05/1988;17;
16/05/1988;17;
17/05/1988;17;
18/05/1988;16;
19/05/1988;16;
20/05/1988;16;
23/05/1988;16;
24/05/1988;16;
25/05/1988;16;
26/05/1988;16;
27/05/1988;16;
30/05/1988;16;
31/05/1988;16;
1/06/1988;16;
2/06/1988;16;
3/06/1988;16;
6/06/1988;16;
7/06/1988;16;
8/06/1988;16;
9/06/1988;16;
10/06/1988;16;
13/06/1988;16;
14/06/1988;16;
15/06/1988;16;
16/06/1988;15;
17/06/1988;15;
20/06/1988;15;
21/06/1988;15;
22/06/1988;15;
23/06/1988;15;
24/06/1988;15;
27/06/1988;15;
28/06/1988;15;
29/06/1988;15;
30/06/1988;14;
1/07/1988;14;
4/07/1988;14;
5/07/1988;14;
6/07/1988;15;
7/07/1988;16;
8/07/1988;15;
11/07/1988;15;
12/07/1988;14;
13/07/1988;14;
14/07/1988;14;
15/07/1988;14;
18/07/1988;15;
19/07/1988;15;
20/07/1988;15;
21/07/1988;16;
22/07/1988;16;
25/07/1988;16;
26/07/1988;15;
27/07/1988;15;
28/07/1988;16;
29/07/1988;16;
1-Aug-88;16;
2-Aug-88;15;
3-Aug-88;15;
4-Aug-88;15;
5-Aug-88;15;
8-Aug-88;15;
9-Aug-88;15;
10-Aug-88;15;
11-Aug-88;15;
12-Aug-88;15;
15-Aug-88;15;
16-Aug-88;15;
17-Aug-88;15;
18-Aug-88;15;
19-Aug-88;15;
22-Aug-88;15;
23-Aug-88;15;
24-Aug-88;15;
25-Aug-88;15;
26-Aug-88;15;
29-Aug-88;14;
30-Aug-88;14;
31-Aug-88;14;
1/09/1988;14;
2/09/1988;14;
5/09/1988;14;
6/09/1988;13;
7/09/1988;13;
8/09/1988;13;
9/09/1988;13;
12/09/1988;13;
13/09/1988;13;
14/09/1988;14;
15/09/1988;14;
16/09/1988;13;
19/09/1988;13;
20/09/1988;13;
21/09/1988;13;
22/09/1988;13;
23/09/1988;13;
26/09/1988;13;
27/09/1988;13;
28/09/1988;13;
29/09/1988;13;
30/09/1988;12;
3/10/1988;12;
4/10/1988;12;
5/10/1988;11;
6/10/1988;11;
7/10/1988;11;
10/10/1988;12;
11/10/1988;12;
12/10/1988;12;
13/10/1988;13;
14/10/1988;13;
17/10/1988;14;
18/10/1988;13;
19/10/1988;13;
20/10/1988;14;
21/10/1988;13;
24/10/1988;12;
25/10/1988;12;
26/10/1988;12;
